Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,DateUTC
2020-08-09 05:15:00,,,752.997611947,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 05:20:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 05:25:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 05:30:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 05:35:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 05:40:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 05:45:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 05:50:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 05:55:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:00:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:05:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:10:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:15:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:20:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:25:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:30:00,,,753.051152123,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:35:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:40:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:45:00,,,753.126158292,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:50:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 06:55:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:00:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:05:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:10:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:15:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:20:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:25:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:30:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:35:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:40:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:45:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:50:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 07:55:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:00:00,,,753.072701317,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:05:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:10:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:15:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:20:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:25:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:30:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:35:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:40:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:45:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:50:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 08:55:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:00:00,,,752.997701128,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:05:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:10:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:15:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:20:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:25:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:30:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:35:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:40:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:45:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:50:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 09:55:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:00:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:05:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:10:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:15:00,,,752.92269496,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:20:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:25:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:30:00,,,752.847682812,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:35:00,,,752.836908216,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:40:00,,,752.836908216,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:45:00,,,752.901175432,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:50:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 10:55:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:00:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:05:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:10:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:15:00,,,752.847682812,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:20:00,,,752.836908216,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:25:00,,,752.836908216,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:30:00,,,752.901175432,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:35:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:40:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:45:00,,,752.847688792,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:50:00,,,752.836908216,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 11:55:00,,,752.836908216,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:00:00,,,752.901139788,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:05:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:10:00,,,752.911914384,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:15:00,,,752.847688792,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:20:00,,,752.836908216,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:25:00,,,752.836908216,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:30:00,,,752.772676645,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:35:00,,,752.761902048,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:40:00,,,752.761902048,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:45:00,,,752.697634832,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:50:00,,,752.68689588,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 12:55:00,,,752.68689588,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:00:00,,,752.622670288,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:05:00,,,752.611889712,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:10:00,,,752.611889712,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:15:00,,,752.547658141,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:20:00,,,752.536883544,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:25:00,,,752.536883544,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:30:00,,,752.536883544,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:35:00,,,752.536883544,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:40:00,,,752.536883544,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:45:00,,,752.472657952,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:50:00,,,752.461877376,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 13:55:00,,,752.461877376,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:00:00,,,752.461877376,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:05:00,,,752.461877376,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:10:00,,,752.461877376,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:15:00,,,752.397651784,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:20:00,,,752.386871208,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:25:00,,,752.386871208,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:30:00,,,752.386871208,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:35:00,,,752.386871208,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:40:00,,,752.386871208,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:45:00,,,752.386871208,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:50:00,,,752.386871208,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 14:55:00,,,752.386871208,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:00:00,,,752.322645616,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:05:00,,,752.31186504,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:10:00,,,752.31186504,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:15:00,,,752.31186504,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:20:00,,,752.31186504,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:25:00,,,752.31186504,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:30:00,,,752.247639448,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:35:00,,,752.236858872,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:40:00,,,752.236858872,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:45:00,,,752.172627301,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:50:00,,,752.161852704,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 15:55:00,,,752.161852704,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:00:00,,,752.161852704,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:05:00,,,752.161852704,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:10:00,,,752.161852704,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:15:00,,,752.097627112,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:20:00,,,752.086846536,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:25:00,,,752.086846536,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:30:00,,,752.086846536,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:35:00,,,752.086846536,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:40:00,,,752.086846536,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:45:00,,,752.02257932,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:50:00,,,752.011840368,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 16:55:00,,,752.011840368,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:00:00,,,751.947614776,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:05:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:10:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:15:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:20:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:25:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:30:00,,,751.872608608,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:35:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:40:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:45:00,,,751.797596461,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:50:00,,,751.786821864,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 17:55:00,,,751.786821864,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:00:00,,,751.722590292,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:05:00,,,751.711815696,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:10:00,,,751.711815696,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:15:00,,,751.711815696,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:20:00,,,751.711815696,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:25:00,,,751.711815696,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:30:00,,,751.647584125,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:35:00,,,751.636809528,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:40:00,,,751.636809528,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:45:00,,,751.701076744,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:50:00,,,751.711815696,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 18:55:00,,,751.711815696,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:00:00,,,751.776041288,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:05:00,,,751.786821864,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:10:00,,,751.786821864,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:15:00,,,751.786821864,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:20:00,,,751.786821864,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:25:00,,,751.786821864,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:30:00,,,751.851047456,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:35:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:40:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:45:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:50:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 19:55:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:00:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:05:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:10:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:15:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:20:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:25:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:30:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:35:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:40:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:45:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:50:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 20:55:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:00:00,,,751.926053624,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:05:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:10:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:15:00,,,751.808371057,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:20:00,,,751.786821864,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:25:00,,,751.786821864,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:30:00,,,751.851047456,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:35:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:40:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:45:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:50:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 21:55:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:00:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:05:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:10:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:15:00,,,751.926053624,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:20:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:25:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:30:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:35:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:40:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:45:00,,,751.872566984,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:50:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 22:55:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:00:00,,,751.926053624,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:05:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:10:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:15:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:20:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:25:00,,,751.9368342,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:30:00,,,751.872608608,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:35:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:40:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:45:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
2020-08-09 23:50:00,,,751.861828032,  ,  ,,,,,  ,  ,0.0,  ,  
  

    

