Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,DateUTC
                
2020-07-19 00:00:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:05:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:10:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:15:00,,,753.091771017,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:20:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:25:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:30:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:35:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:40:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:45:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:50:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 00:55:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:00:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:05:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:10:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:15:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:20:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:25:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:30:00,,,753.107063543,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:35:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:40:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:45:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:50:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 01:55:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:00:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:05:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:10:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:15:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:20:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:25:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:30:00,,,753.091745941,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:35:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:40:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:45:00,,,753.107105144,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:50:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 02:55:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:00:00,,,753.091729393,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:05:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:10:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:15:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:20:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:25:00,,,753.136932888,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:30:00,,,753.107105144,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:35:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:40:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:45:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:50:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 03:55:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:00:00,,,753.032098976,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:05:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:10:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:15:00,,,753.016723225,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:20:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:25:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:30:00,,,753.032124047,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:35:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:40:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:45:00,,,753.016748296,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:50:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 04:55:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:00:00,,,753.032124047,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:05:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:10:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:15:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:20:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:25:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:30:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:35:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:40:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:45:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:50:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 05:55:00,,,752.986920552,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 06:00:00,,,753.016748296,  ,  ,,,,,  ,  ,0.0,  ,  
2020-07-19 06:05:00,,,753.06192672,  ,  ,,,,,  ,  ,0.0,  ,  
